Date,Symbol,Cap Type,Sector
2025-09-18,HEIDELBERG,Smallcap,Building Materials
2025-09-18,ONGC,Largecap,Energy
2025-09-18,CUB,Midcap,Bank
2025-09-18,SOUTHBANK,Midcap,Bank
2025-09-18,VIPCLOTHNG,Smallcap,Textiles
2025-09-18,SYNGENE,Midcap,Healthcare
2025-09-18,SBILIFE,Largecap,Financials
2025-09-18,SUPRIYA,Midcap,Healthcare
2025-09-18,CONCORDBIO,Midcap,Healthcare
2025-09-21,CEMPRO,Midcap,Realty
2025-09-21,BORORENEW,Midcap,Building Materials
2025-09-22,MUKANDLTD,Smallcap,Metals & Mining
2025-09-22,CONTROLPR,Smallcap,I.T
2025-09-22,MENONBE,Smallcap,Auto
2025-09-22,TINNARUBR,Smallcap,FMCG
2025-09-22,MEDICO,Smallcap,Healthcare
2025-09-22,DIL,Smallcap,Services
2025-09-22,OSWALSEEDS,Smallcap,FMCG
2025-09-23,AGI,Smallcap,Industrials
2025-09-23,DEEPAKFERT,Midcap,Chemicals
2025-09-23,ZUARIIND,Smallcap,FMCG
2025-09-23,IFGLEXPOR,Smallcap,Building Materials
2025-09-23,MUFIN,Smallcap,Financials
2025-09-23,EQUITASBNK,Midcap,Bank
2025-09-24,GRMOVER,Smallcap,FMCG
2025-09-24,MAXIND,Smallcap,Financials
2025-09-24,HPAL,Smallcap,Chemicals
2025-09-25,MCL,Smallcap,Metals & Mining
2025-09-28,TATAPOWER,Largecap,Power & Utilities
2025-09-28,JBCHEPHARM,Largecap,Healthcare
2025-09-28,PFC,Largecap,Financials
2025-09-28,NIBE,Smallcap,Aerospace & Defence
2025-09-28,MANAKALUCO,Smallcap,Metals & Mining
2025-09-28,LCCINFOTEC,Smallcap,Services
2025-09-29,SHALPAINTS,Smallcap,Building Materials
2025-09-29,UCOBANK,Largecap,Bank
2025-09-29,KEC,Midcap,Realty
2025-09-29,MOVALUE,Smallcap,Indices
2025-09-30,BEML,Midcap,Aerospace & Defence
2025-09-30,EXIDEIND,Largecap,Auto
2025-09-30,DRREDDY,Largecap,Healthcare
2025-09-30,LUPIN,Largecap,Healthcare
2025-09-30,ELECON,Midcap,Industrials
2025-09-30,UGROCAP,Smallcap,Financials
2025-09-30,IOLCP,Smallcap,Healthcare
2025-09-30,SUNPHARMA,Largecap,Healthcare
2025-09-30,UYFINCORP,Smallcap,Financials
2025-09-30,CIFL,Smallcap,Financials
2025-09-30,GRMOVER,Smallcap,FMCG
2025-09-30,ORCHASP,Smallcap,I.T
2025-09-30,GVPIL,Smallcap,Realty
2025-09-30,UNITDSPR,Largecap,FMCG
2025-09-30,GSPL,Midcap,Energy
2025-09-30,CIEINDIA,Midcap,Industrials
2025-09-30,RGL,Smallcap,Consumer Discretionary
2025-09-30,VIJIFIN,Smallcap,Financials
2025-09-30,STARHEALTH,Largecap,Financials
2025-10-02,CESC,Largecap,Power & Utilities
2025-10-02,KOTAKBANK,Largecap,Bank
2025-10-02,PIDILITIND,Largecap,Chemicals
2025-10-02,SPLPETRO,Midcap,Energy
2025-10-02,MUKANDLTD,Smallcap,Metals & Mining
2025-10-02,FINPIPE,Midcap,Plastic products
2025-10-02,ANDHRAPAP,Smallcap,Building Materials
2025-10-02,NELCO,Smallcap,Telecom
2025-10-02,GRINDWELL,Largecap,Industrials
2025-10-02,MASTERTR,Smallcap,Financials
2025-10-02,MMTC,Midcap,Services
2025-10-02,HERITGFOOD,Smallcap,FMCG
2025-10-02,CARYSIL,Smallcap,Consumer Discretionary
2025-10-02,NRBBEARING,Smallcap,Industrials
2025-10-02,REMSONSIND,Smallcap,Auto
2025-10-02,GAIL,Largecap,Energy
2025-10-02,MCLEODRUSS,Smallcap,FMCG
2025-10-02,KERNEX,Smallcap,Consumer Discretionary
2025-10-02,TANLA,Midcap,I.T
2025-10-02,SMSPHARMA,Smallcap,Healthcare
2025-10-02,POWERGRID,Largecap,Power & Utilities
