Date,Total Signals,consumer discretionary,fmcg,telecom-service,bank,auto,realty,indices,healthcare,plastic products,financials,chemicals,aerospace & defence,miscellaneous,i.t,textiles,power & utilities,media,industrials,energy,metals & mining,telecom,building materials,services,transportation,n/a,co-working
2025-09-18,9,0,0,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
2025-09-21,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-09-22,7,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2025-09-23,6,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2025-09-24,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025-09-28,6,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
2025-09-29,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025-09-30,19,1,2,0,0,1,1,0,4,0,5,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0
2025-10-02,43,4,2,0,1,1,1,5,1,1,2,2,3,0,4,0,2,0,3,2,2,2,2,2,1,0,0
2025-10-05,19,1,0,1,1,0,1,3,2,0,1,0,0,1,2,0,0,0,0,2,0,0,2,1,1,0,0
2025-10-06,9,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2025-10-07,9,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0
2025-10-08,11,0,2,0,0,0,0,1,0,0,1,1,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0
2025-10-09,16,1,0,0,1,0,1,2,0,1,4,0,0,0,1,1,0,0,0,1,2,0,1,0,0,0,0
2025-10-12,5,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-10-13,5,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2025-10-14,16,1,2,0,0,0,1,1,0,0,3,1,0,0,1,1,0,0,0,0,3,0,0,1,0,1,0
2025-10-15,20,3,1,0,1,2,3,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0
2025-10-16,11,1,4,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0
2025-10-19,11,1,0,0,1,0,1,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1
2025-10-20,11,0,1,0,1,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0
2025-10-22,12,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0
2025-10-23,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2025-10-26,7,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
