Day Index,Symbol,Cap Type,Sector
0,TITAN,Largecap,Consumer Discretionary
0,PIDILITIND,Largecap,Chemicals
1,DABUR,Largecap,FMCG
1,ITC,Largecap,FMCG
1,UPL,Largecap,Chemicals
1,TECHM,Largecap,I.T
2,HINDUNILVR,Largecap,FMCG
2,INDHOTEL,Largecap,Services
2,UPL,Largecap,Chemicals
2,MPHASIS,Largecap,I.T
2,MARICO,Largecap,FMCG
2,GODREJCP,Largecap,FMCG
2,COFORGE,Largecap,I.T
2,KFINTECH,Midcap,Financials
3,PIDILITIND,Largecap,Chemicals
3,BOSCHLTD,Largecap,Auto
3,WIPRO,Largecap,I.T
3,CONCOR,Largecap,Transportation
3,DALBHARAT,Largecap,Building Materials
3,IDFCFIRSTB,Largecap,Bank
3,IEX,Midcap,Financials
3,PAYTM,Largecap,I.T
4,EXIDEIND,Largecap,Auto
4,CIPLA,Largecap,Healthcare
4,DABUR,Largecap,FMCG
4,TATAELXSI,Largecap,I.T
4,SIEMENS,Largecap,Industrials
4,TMPV,Largecap,Auto
4,ASIANPAINT,Largecap,Building Materials
4,COLPAL,Largecap,FMCG
4,GAIL,Largecap,Energy
4,DALBHARAT,Largecap,Building Materials
4,INOXWIND,Midcap,Industrials
4,CDSL,Largecap,Financials
4,MANKIND,Largecap,Healthcare
4,JIOFIN,Largecap,Financials
5,ABB,Largecap,Industrials
5,DRREDDY,Largecap,Healthcare
5,GODFRYPHLP,Largecap,FMCG
5,INFY,Largecap,I.T
5,LICHSGFIN,Largecap,Financials
5,LUPIN,Largecap,Healthcare
5,GRASIM,Largecap,Textiles
5,PIDILITIND,Largecap,Chemicals
5,M&M,Largecap,Auto
5,SIEMENS,Largecap,Industrials
5,VOLTAS,Largecap,Consumer Discretionary
5,ASIANPAINT,Largecap,Building Materials
5,HAVELLS,Largecap,Consumer Discretionary
5,SUNPHARMA,Largecap,Healthcare
5,GLENMARK,Largecap,Healthcare
5,ZYDUSLIFE,Largecap,Healthcare
5,UNITDSPR,Largecap,FMCG
5,OFSS,Largecap,I.T
5,ULTRACEMCO,Largecap,Building Materials
5,GMRAIRPORT,Largecap,Miscellaneous
5,FORTIS,Largecap,Healthcare
5,POWERGRID,Largecap,Power & Utilities
5,BAJAJ-AUTO,Largecap,Auto
5,NBCC,Largecap,Miscellaneous
5,INDIGO,Largecap,Transportation
5,LAURUSLABS,Largecap,Healthcare
5,NIFTY,Smallcap,Indices
5,DMART,Largecap,Consumer Discretionary
5,ABCAPITAL,Largecap,Financials
5,KPITTECH,Midcap,I.T
5,CAMS,Midcap,Financials
5,IRFC,Largecap,Financials
5,ETERNAL,Largecap,I.T
5,IREDA,Largecap,Financials
5,WAAREEENER,Largecap,Industrials
6,BLUESTARCO,Largecap,Consumer Discretionary
6,DRREDDY,Largecap,Healthcare
6,HINDUNILVR,Largecap,FMCG
6,NESTLEIND,Largecap,FMCG
6,BHARTIARTL,Largecap,Telecom-Service
6,PGEL,Midcap,Consumer Discretionary
6,DIXON,Largecap,Consumer Discretionary
6,TIINDIA,Largecap,Industrials
