Day Index,Total Signals,energy,industrials,financials,consumer discretionary,healthcare,building materials,transportation,services,chemicals,n/a,power & utilities,miscellaneous,fmcg,textiles,aerospace & defence,auto,metals & mining,i.t,indices,realty,bank,plastic products,media,telecom-service,co-working,telecom
0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2,8,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
3,8,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0
4,14,1,2,2,0,2,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0
5,35,0,3,5,3,7,2,1,0,1,0,1,2,2,1,0,2,0,4,1,0,0,0,0,0,0,0
6,12,0,1,1,4,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0
7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0
8,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
