Date,Total Signals,consumer discretionary,fmcg,industrials,bank,telecom-service,services,healthcare,transportation,n/a,chemicals,auto,metals & mining,indices,realty,textiles,aerospace & defence,financials,energy,miscellaneous,i.t,building materials,power & utilities,plastic products,media,telecom,co-working
2025-09-18,10,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0
2025-09-21,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2025-09-22,14,0,3,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0
2025-09-23,7,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2025-09-24,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-09-25,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-09-28,9,0,1,0,0,0,1,1,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0
2025-09-29,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
2025-09-30,28,2,3,3,0,0,0,4,0,0,1,1,0,3,1,1,1,5,1,0,2,0,0,0,0,0,0
2025-10-02,71,5,4,4,1,0,2,1,2,1,2,2,2,21,1,1,3,4,2,0,6,2,2,1,0,2,0
2025-10-05,31,1,0,1,1,1,2,2,1,0,0,1,1,10,1,0,0,2,2,1,2,2,0,0,0,0,0
2025-10-06,17,0,0,2,2,0,0,1,0,0,0,0,1,2,0,0,0,2,1,1,4,0,0,1,0,0,0
2025-10-07,17,2,0,3,1,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,1,0,0,1,0
2025-10-08,16,3,2,1,0,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,2,1,1,0,0,0,0
2025-10-09,31,3,2,0,1,0,1,2,0,0,0,1,3,5,1,2,0,5,1,0,2,1,0,1,0,0,0
2025-10-12,10,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,0,0
2025-10-13,6,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2025-10-14,22,1,2,0,0,0,1,0,0,1,2,0,3,5,1,1,0,3,0,0,1,0,0,0,1,0,0
2025-10-15,31,4,1,2,1,0,4,0,1,0,1,2,1,4,4,0,0,2,0,2,1,0,1,0,0,0,0
2025-10-16,17,2,4,1,1,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,1,2,0,0,0,0,0
2025-10-19,12,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,1
2025-10-20,33,3,2,3,1,0,0,2,0,0,2,3,3,0,4,2,0,0,1,1,2,1,0,1,2,0,0
2025-10-22,16,0,2,2,1,0,1,1,0,0,2,1,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0
2025-10-23,9,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2025-10-26,12,1,2,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2025-10-27,20,2,1,5,0,0,2,1,0,0,4,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
2025-10-28,23,0,1,4,0,0,1,0,0,1,1,3,0,6,0,0,1,1,0,0,2,1,1,0,0,0,0
2025-10-29,13,3,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,3,0,0,1,0,0,0,0,0,0
2025-10-30,6,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-02,16,1,3,2,1,0,0,1,0,0,0,2,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0
2025-11-03,11,2,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0
2025-11-05,8,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
2025-11-06,7,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0
2025-11-09,31,1,2,0,1,0,1,2,0,0,0,3,1,6,1,1,1,5,1,1,2,0,1,0,0,1,0
2025-11-10,13,0,1,2,0,0,0,1,1,0,0,2,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0
2025-11-11,28,3,0,3,0,0,0,0,0,2,2,1,1,0,2,1,1,4,0,1,3,3,1,0,0,0,0
2025-11-12,9,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2025-11-13,13,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0
2025-11-16,20,2,0,2,0,0,1,1,0,0,1,1,0,1,4,1,0,4,0,0,0,1,1,0,0,0,0
2025-11-17,10,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,1,0,1,0,0,0,0
2025-11-18,14,0,2,1,0,0,0,0,0,2,1,0,2,0,1,2,0,1,0,0,2,0,0,0,0,0,0
2025-11-19,5,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2025-11-20,6,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2025-11-23,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025-11-24,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0
2025-11-25,29,0,0,0,0,0,2,1,1,0,1,2,4,6,2,1,1,2,0,0,3,3,0,0,0,0,0
2025-11-26,11,0,1,0,0,0,0,1,0,1,2,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0
2025-11-27,6,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2025-11-30,11,1,1,1,0,0,1,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2025-12-01,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
2025-12-02,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-12-03,7,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2025-12-04,11,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1,2,0,0
2025-12-07,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-08,5,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-12-09,21,2,1,2,0,0,1,5,0,0,0,0,2,0,0,2,0,2,0,0,0,3,0,0,1,0,0
2025-12-10,9,0,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0
2025-12-11,44,2,3,5,1,0,1,3,0,2,3,0,1,14,6,0,0,1,1,0,1,0,0,0,0,0,0
2025-12-14,25,1,5,2,0,0,1,1,1,0,2,0,3,0,1,1,0,0,1,0,2,2,0,0,2,0,0
2025-12-15,14,0,0,2,0,0,0,1,0,0,1,0,2,3,0,1,0,1,2,0,0,1,0,0,0,0,0
2025-12-16,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
2025-12-17,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025-12-18,28,1,0,3,0,1,0,1,0,0,1,1,3,9,3,2,0,0,0,2,1,0,0,0,0,0,0
2025-12-21,37,1,0,4,3,0,1,2,1,0,0,1,1,12,2,0,0,3,1,2,3,0,0,0,0,0,0
2025-12-22,16,0,2,1,0,0,2,1,1,0,0,1,0,2,1,0,0,2,1,0,1,0,0,0,1,0,0
2025-12-23,16,1,1,1,0,0,1,1,0,0,0,1,1,2,1,0,1,1,0,2,1,0,0,0,1,0,0
2025-12-25,8,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
