Date,Symbol,Cap Type,Sector
2025-09-18,BHEL,Largecap,Industrials
2025-09-18,HINDPETRO,Largecap,Energy
2025-09-18,SBIN,Largecap,Bank
2025-09-18,SAIL,Largecap,Metals & Mining
2025-09-18,DRREDDY,Largecap,Healthcare
2025-09-18,HEROMOTOCO,Largecap,Auto
2025-09-18,JSWSTEEL,Largecap,Metals & Mining
2025-09-18,LICHSGFIN,Largecap,Financials
2025-09-18,LUPIN,Largecap,Healthcare
2025-09-18,GRASIM,Largecap,Textiles
2025-09-18,TATASTEEL,Largecap,Metals & Mining
2025-09-18,ASHOKLEY,Largecap,Auto
2025-09-18,BPCL,Largecap,Energy
2025-09-18,EICHERMOT,Largecap,Auto
2025-09-18,CHOLAFIN,Largecap,Financials
2025-09-18,ADANIENT,Largecap,Services
2025-09-18,SUNPHARMA,Largecap,Healthcare
2025-09-18,AUROPHARMA,Largecap,Healthcare
2025-09-18,NMDC,Largecap,Metals & Mining
2025-09-18,IOC,Largecap,Energy
2025-09-18,BANKBARODA,Largecap,Bank
2025-09-18,BANKINDIA,Largecap,Bank
2025-09-18,AXISBANK,Largecap,Bank
2025-09-18,JINDALSTEL,Largecap,Metals & Mining
2025-09-18,BHARTIARTL,Largecap,Telecom-Service
2025-09-18,PNB,Largecap,Bank
2025-09-18,UNIONBANK,Largecap,Bank
2025-09-18,CANBK,Largecap,Bank
2025-09-18,MARUTI,Largecap,Auto
2025-09-18,UNOMINDA,Largecap,Auto
2025-09-18,GMRAIRPORT,Largecap,Miscellaneous
2025-09-18,ADANIPORTS,Largecap,Transportation
2025-09-18,BAJAJFINSV,Largecap,Financials
2025-09-18,ADANIPOWER,Largecap,Power & Utilities
2025-09-18,JSWENERGY,Largecap,Power & Utilities
2025-09-18,GODREJPROP,Largecap,Realty
2025-09-18,NBCC,Largecap,Miscellaneous
2025-09-18,SAMMAANCAP,Midcap,Financials
2025-09-18,ADANIENSOL,Largecap,Power & Utilities
2025-09-18,PNBHOUSING,Largecap,Financials
2025-09-18,LAURUSLABS,Largecap,Healthcare
2025-09-18,BDL,Largecap,Aerospace & Defence
2025-09-18,HAL,Largecap,Aerospace & Defence
2025-09-18,ADANIGREEN,Largecap,Power & Utilities
2025-09-18,HDFCAMC,Largecap,Financials
2025-09-18,RVNL,Largecap,Realty
2025-09-18,CAMS,Midcap,Financials
2025-09-18,ETERNAL,Largecap,I.T
2025-09-18,MANKIND,Largecap,Healthcare
2025-09-18,IREDA,Largecap,Financials
2025-09-18,HYUNDAI,Largecap,Auto
2025-09-18,SWIGGY,Largecap,I.T
2025-09-21,BAJFINANCE,Largecap,Financials
2025-09-21,BLUESTARCO,Largecap,Consumer Discretionary
2025-09-21,BHEL,Largecap,Industrials
2025-09-21,SAIL,Largecap,Metals & Mining
2025-09-21,HEROMOTOCO,Largecap,Auto
2025-09-21,HINDZINC,Largecap,Metals & Mining
2025-09-21,VEDL,Largecap,Metals & Mining
2025-09-21,AMBUJACEM,Largecap,Building Materials
2025-09-21,TATACONSUM,Largecap,FMCG
2025-09-21,PHOENIXLTD,Largecap,Realty
2025-09-21,CHOLAFIN,Largecap,Financials
2025-09-21,ADANIENT,Largecap,Services
2025-09-21,MOTHERSON,Largecap,Auto
2025-09-21,MANAPPURAM,Largecap,Financials
2025-09-21,BANKINDIA,Largecap,Bank
2025-09-21,AXISBANK,Largecap,Bank
2025-09-21,CANBK,Largecap,Bank
2025-09-21,FORTIS,Largecap,Healthcare
2025-09-21,BAJAJFINSV,Largecap,Financials
2025-09-21,ADANIPOWER,Largecap,Power & Utilities
2025-09-21,MUTHOOTFIN,Largecap,Financials
2025-09-21,LTF,Largecap,Financials
2025-09-21,NBCC,Largecap,Miscellaneous
2025-09-21,ADANIENSOL,Largecap,Power & Utilities
2025-09-21,COCHINSHIP,Largecap,Aerospace & Defence
2025-09-21,ADANIGREEN,Largecap,Power & Utilities
2025-09-21,ETERNAL,Largecap,I.T
2025-09-21,LICI,Largecap,Financials
2025-09-21,IREDA,Largecap,Financials
2025-09-22,BAJFINANCE,Largecap,Financials
2025-09-22,HINDPETRO,Largecap,Energy
2025-09-22,SBIN,Largecap,Bank
2025-09-22,SAIL,Largecap,Metals & Mining
2025-09-22,JSWSTEEL,Largecap,Metals & Mining
2025-09-22,KOTAKBANK,Largecap,Bank
2025-09-22,TATASTEEL,Largecap,Metals & Mining
2025-09-22,ASHOKLEY,Largecap,Auto
2025-09-22,M&M,Largecap,Auto
2025-09-22,BPCL,Largecap,Energy
2025-09-22,EICHERMOT,Largecap,Auto
2025-09-22,CHOLAFIN,Largecap,Financials
2025-09-22,ADANIENT,Largecap,Services
2025-09-22,MOTHERSON,Largecap,Auto
2025-09-22,KEI,Largecap,Industrials
2025-09-22,NMDC,Largecap,Metals & Mining
2025-09-22,MANAPPURAM,Largecap,Financials
2025-09-22,BANKBARODA,Largecap,Bank
2025-09-22,BANKINDIA,Largecap,Bank
2025-09-22,AXISBANK,Largecap,Bank
2025-09-22,JINDALSTEL,Largecap,Metals & Mining
2025-09-22,ZYDUSLIFE,Largecap,Healthcare
2025-09-22,CANBK,Largecap,Bank
2025-09-22,MARUTI,Largecap,Auto
2025-09-22,NTPC,Largecap,Power & Utilities
2025-09-22,PFC,Largecap,Financials
2025-09-22,FORTIS,Largecap,Healthcare
2025-09-22,MOTILALOFS,Largecap,Financials
2025-09-22,RECLTD,Largecap,Financials
2025-09-22,BAJAJFINSV,Largecap,Financials
2025-09-22,ADANIPOWER,Largecap,Power & Utilities
2025-09-22,MUTHOOTFIN,Largecap,Financials
2025-09-22,PNBHOUSING,Largecap,Financials
2025-09-22,ADANIGREEN,Largecap,Power & Utilities
2025-09-22,HDFCAMC,Largecap,Financials
2025-09-23,BAJFINANCE,Largecap,Financials
2025-09-23,HINDPETRO,Largecap,Energy
2025-09-23,SBIN,Largecap,Bank
2025-09-23,JSWSTEEL,Largecap,Metals & Mining
2025-09-23,TATACONSUM,Largecap,FMCG
2025-09-23,BANKBARODA,Largecap,Bank
2025-09-23,BANKINDIA,Largecap,Bank
2025-09-23,CANBK,Largecap,Bank
2025-09-23,MARUTI,Largecap,Auto
2025-09-23,NTPC,Largecap,Power & Utilities
2025-09-23,INDIANB,Largecap,Bank
2025-09-23,POWERGRID,Largecap,Power & Utilities
2025-09-23,MUTHOOTFIN,Largecap,Financials
2025-09-23,PNBHOUSING,Largecap,Financials
2025-09-23,LAURUSLABS,Largecap,Healthcare
2025-09-23,NAM-INDIA,Largecap,Financials
2025-09-23,SBICARD,Largecap,Financials
2025-09-23,KAYNES,Largecap,Consumer Discretionary
2025-09-24,HEROMOTOCO,Largecap,Auto
2025-09-24,HINDZINC,Largecap,Metals & Mining
2025-09-24,AXISBANK,Largecap,Bank
2025-09-24,RBLBANK,Largecap,Bank
2025-09-24,PNBHOUSING,Largecap,Financials
2025-09-24,COCHINSHIP,Largecap,Aerospace & Defence
2025-09-24,NAM-INDIA,Largecap,Financials
2025-09-24,AMBER,Largecap,Consumer Discretionary
2025-09-24,SBICARD,Largecap,Financials
2025-09-24,KAYNES,Largecap,Consumer Discretionary
2025-09-25,ASHOKLEY,Largecap,Auto
2025-09-25,LT,Largecap,Realty
2025-09-25,EICHERMOT,Largecap,Auto
2025-09-25,NAM-INDIA,Largecap,Financials
2025-09-28,HINDPETRO,Largecap,Energy
