Date,Total Signals,healthcare,financials,consumer discretionary,fmcg,i.t,aerospace & defence,services,transportation,industrials,n/a,textiles,bank,indices,auto,chemicals,realty,building materials,telecom,metals & mining,telecom-service,energy,media,co-working,plastic products,miscellaneous,power & utilities
2025-09-18,52,6,8,0,0,2,2,1,1,1,0,1,7,0,6,0,2,0,0,5,1,3,0,0,0,2,4
2025-09-21,29,1,8,1,1,1,1,1,0,1,0,0,3,0,2,0,1,1,0,3,0,0,0,0,0,1,3
2025-09-22,35,2,10,0,0,0,0,1,0,1,0,0,6,0,5,0,0,0,0,5,0,2,0,0,0,0,3
2025-09-23,18,1,5,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,1,0,0,0,0,2
2025-09-24,10,0,3,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2025-09-25,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
2025-09-28,13,0,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,3,0,0,0,0,0
2025-09-29,20,0,4,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,5,0,3,0,0,0,0,0
2025-09-30,26,1,5,0,1,0,0,1,0,2,0,0,6,0,2,0,0,0,0,5,0,1,0,0,0,0,2
2025-10-02,33,0,7,0,0,0,2,1,0,2,0,0,7,0,1,0,1,0,0,8,0,2,0,0,0,1,1
2025-10-05,33,1,8,0,1,1,2,0,0,1,0,0,8,0,3,0,1,0,0,1,0,4,0,0,0,0,2
2025-10-06,25,1,8,1,0,3,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,0,0,0,0,2
2025-10-07,11,1,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0
2025-10-08,30,1,7,0,0,4,0,0,0,0,0,0,8,0,0,0,1,0,0,7,0,1,0,0,0,0,1
2025-10-09,32,3,7,2,0,3,1,0,0,0,0,0,11,0,0,1,1,0,0,2,0,1,0,0,0,0,0
2025-10-12,36,4,11,1,0,3,0,0,1,0,0,0,10,0,1,0,1,0,0,1,1,0,0,0,0,0,2
2025-10-13,20,0,10,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,0,2,0,0,0,0,0,0,1
2025-10-14,41,0,15,0,1,5,0,0,1,0,0,0,7,0,2,1,4,0,0,1,1,1,0,0,0,0,2
2025-10-15,49,1,9,1,2,6,0,0,2,2,0,1,7,0,2,1,6,0,0,3,1,2,0,0,0,0,3
2025-10-16,33,4,4,3,4,0,1,0,1,1,0,0,4,0,2,1,3,1,0,0,1,2,0,0,0,0,1
2025-10-19,45,4,10,2,2,1,1,0,0,0,0,0,13,0,1,0,3,1,0,1,1,3,0,0,0,0,2
2025-10-20,20,2,3,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,3,0,0,0,0,1
2025-10-22,40,1,9,1,1,2,1,0,0,3,0,0,9,0,2,0,4,0,0,3,0,1,0,0,1,1,1
2025-10-23,20,0,8,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,1,0
2025-10-26,55,1,16,0,3,3,0,1,0,2,0,1,9,0,1,0,6,1,1,5,1,3,0,0,0,0,1
2025-10-27,38,1,10,0,0,1,0,0,0,2,0,1,13,0,1,1,1,0,1,4,1,1,0,0,0,0,0
2025-10-28,54,3,6,2,4,1,0,1,1,5,0,1,8,0,0,1,2,1,0,6,1,6,0,0,0,0,5
2025-10-29,37,3,5,2,4,4,0,1,0,2,0,0,2,0,0,1,2,0,0,2,0,4,0,0,0,2,3
2025-10-30,31,2,6,0,2,0,1,0,0,3,0,0,8,0,0,0,2,0,0,0,0,5,0,0,0,0,2
2025-11-02,51,4,11,1,2,0,0,0,0,4,0,0,10,0,1,1,3,0,1,4,1,5,0,0,1,0,2
2025-11-03,27,2,5,2,1,0,0,0,0,3,0,0,4,0,1,1,1,0,1,1,1,3,0,0,0,1,0
2025-11-05,13,2,1,0,2,1,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,0,0,1,0,0
2025-11-06,34,0,8,0,1,1,0,0,0,1,0,0,9,0,2,1,1,1,1,3,0,3,0,0,1,1,0
2025-11-09,41,4,10,1,0,0,0,0,0,2,0,0,9,0,3,1,1,1,0,4,0,3,0,0,1,1,0
2025-11-10,33,4,4,1,0,2,1,0,1,2,0,0,1,0,3,0,1,1,1,4,0,5,0,0,0,1,1
2025-11-11,52,4,8,1,2,7,0,0,1,4,0,0,8,0,3,1,1,1,1,1,0,5,0,0,1,2,1
2025-11-12,26,5,5,0,0,2,0,0,0,0,0,0,2,0,2,0,1,1,1,4,1,0,0,0,0,1,1
2025-11-13,28,4,7,0,1,0,1,0,1,0,0,0,7,0,1,0,1,1,1,0,1,1,0,0,0,0,1
2025-11-16,43,4,9,1,1,3,0,0,0,3,0,0,11,0,2,1,1,0,0,0,1,4,0,0,0,2,0
2025-11-17,20,2,2,1,0,1,0,0,0,3,0,0,5,0,2,0,0,0,0,0,1,1,0,0,0,1,1
2025-11-18,29,1,3,1,1,5,0,0,0,2,0,0,9,0,4,0,1,0,0,0,1,0,0,0,0,1,0
2025-11-19,26,1,6,1,1,4,0,0,0,1,0,0,4,0,5,0,1,0,0,0,0,1,0,0,0,1,0
2025-11-20,10,0,2,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,1,0
2025-11-23,11,0,4,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2025-11-24,21,1,5,0,0,2,0,0,0,1,0,0,6,0,1,1,0,0,1,0,1,0,0,0,0,2,0
2025-11-25,42,3,9,1,1,4,0,0,1,3,0,0,10,0,3,1,1,0,1,1,0,1,0,0,0,2,0
2025-11-26,30,5,6,1,0,3,0,0,1,2,0,0,3,0,3,1,1,0,0,1,0,1,0,0,0,2,0
2025-11-27,23,4,3,1,1,1,0,0,1,1,0,0,5,0,4,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-30,23,1,3,0,1,5,0,0,1,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0
2025-12-01,17,2,2,0,0,3,0,0,0,1,0,0,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0
2025-12-02,13,3,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
2025-12-03,21,4,0,0,0,10,0,0,0,0,0,0,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0
2025-12-04,27,2,5,0,1,8,0,0,0,0,0,0,5,0,2,1,0,1,1,1,0,0,0,0,0,0,0
2025-12-07,5,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-08,6,1,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-09,6,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-10,11,1,0,0,0,4,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2025-12-11,30,1,5,0,0,5,0,0,1,1,0,1,3,0,2,1,1,0,1,5,0,1,0,0,0,1,1
2025-12-14,25,1,3,0,1,5,0,0,0,0,0,0,3,0,1,1,2,0,0,5,0,2,0,0,0,0,1
2025-12-15,10,0,1,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0
2025-12-16,13,1,1,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2025-12-17,16,1,2,1,1,4,0,0,0,1,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0
2025-12-18,25,4,3,1,1,5,0,0,0,2,0,0,3,0,2,0,0,0,1,2,0,1,0,0,0,0,0
2025-12-21,28,2,3,0,1,4,0,0,0,2,0,0,3,0,3,1,1,0,0,5,1,2,0,0,0,0,0
2025-12-22,18,2,5,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,1,0,0,0,0,0
