Date,Symbol,Cap Type,Sector
2025-09-18,LMW,Midcap,Industrials
2025-09-18,RAJSREESUG,Smallcap,FMCG
2025-09-18,TMPV,Largecap,Auto
2025-09-18,NESTLEIND,Largecap,FMCG
2025-09-18,TATAINVEST,Largecap,Financials
2025-09-18,DELTAMAGNT,Smallcap,Textiles
2025-09-18,VIVIDHA,Smallcap,Services
2025-09-18,BLISSGVS,Smallcap,Healthcare
2025-09-18,DHANUKA,Smallcap,Chemicals
2025-09-18,FIBERWEB,Smallcap,Textiles
2025-09-18,TEAMGTY,Smallcap,Financials
2025-09-18,MUTHOOTCAP,Smallcap,Financials
2025-09-18,ASAHIINDIA,Largecap,Building Materials
2025-09-18,JTEKTINDIA,Smallcap,Auto
2025-09-18,MARALOVER,Smallcap,Textiles
2025-09-18,SURYALAXMI,Smallcap,Textiles
2025-09-18,KITEX,Smallcap,Consumer Discretionary
2025-09-18,MENONBE,Smallcap,Auto
2025-09-18,BIL,Smallcap,Consumer Discretionary
2025-09-18,UGARSUGAR,Smallcap,FMCG
2025-09-18,BALAMINES,Midcap,Chemicals
2025-09-18,MOHITIND,Smallcap,Textiles
2025-09-18,VAIBHAVGBL,Smallcap,Consumer Discretionary
2025-09-18,ORCHASP,Smallcap,I.T
2025-09-18,HCLTECH,Largecap,I.T
2025-09-18,BSOFT,Midcap,I.T
2025-09-18,RKFORGE,Midcap,Industrials
2025-09-18,DWARKESH,Smallcap,FMCG
2025-09-18,NDL,Smallcap,Textiles
2025-09-18,PFOCUS,Midcap,Realty
2025-09-18,SAHYADRI,Smallcap,Building Materials
2025-09-18,PAISALO,Smallcap,Financials
2025-09-18,KCPSUGIND,Smallcap,FMCG
2025-09-18,KRIDHANINF,Smallcap,Services
2025-09-18,INVENTURE,Smallcap,Financials
2025-09-18,TIJARIA,Smallcap,Plastic products
2025-09-18,INDIGO,Largecap,Transportation
2025-09-18,MAXIND,Smallcap,Financials
2025-09-18,BLS,Midcap,I.T
2025-09-18,GNA,Smallcap,Auto
2025-09-18,HEADSUP,Smallcap,Consumer Discretionary
2025-09-18,TCIEXP,Smallcap,Transportation
2025-09-18,ANDHRSUGAR,Smallcap,Chemicals
2025-09-18,SKMEGGPROD,Smallcap,FMCG
2025-09-18,KOTARISUG,Smallcap,
2025-09-18,DPSCLTD,Smallcap,Power & Utilities
2025-09-18,AVADHSUGAR,Smallcap,FMCG
2025-09-18,LIBAS,Smallcap,FMCG
2025-09-18,GEEKAYWIRE,Smallcap,Metals & Mining
2025-09-18,DPABHUSHAN,Smallcap,Consumer Discretionary
