Date,Total Signals,chemicals,realty,healthcare,indices,fmcg,services,metals & mining,textiles,financials,i.t,power & utilities,consumer discretionary,miscellaneous,building materials,bank,plastic products,n/a,industrials,media,transportation,auto,aerospace & defence,energy,telecom,telecom-service,co-working
2025-09-18,73,5,1,1,10,9,4,1,7,6,6,1,8,1,2,0,1,2,2,0,2,4,0,0,0,0,0
2025-09-21,88,5,8,11,14,6,3,1,5,2,8,0,4,2,2,2,1,2,9,1,1,0,0,0,0,1,0
2025-09-22,86,10,3,4,14,7,3,3,8,4,4,0,6,3,7,0,2,1,5,1,1,0,0,0,0,0,0
2025-09-23,51,2,1,3,19,3,2,0,4,2,3,0,4,0,0,0,1,1,3,0,2,1,0,0,0,0,0
2025-09-24,72,3,6,0,13,7,1,2,5,4,7,0,4,4,2,2,2,3,4,2,1,0,0,0,0,0,0
2025-09-25,90,7,5,8,10,5,4,6,5,3,5,0,6,5,4,1,0,1,8,0,3,2,1,1,0,0,0
2025-09-28,31,0,1,1,8,1,3,1,2,5,1,0,1,0,0,0,1,0,3,0,1,2,0,0,0,0,0
2025-09-29,48,3,3,4,2,4,6,0,0,5,1,2,2,3,2,0,0,2,1,1,1,3,2,1,0,0,0
2025-09-30,22,0,3,2,2,2,1,1,2,3,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2025-10-02,49,3,7,0,5,4,4,2,2,4,1,0,5,0,1,1,1,0,1,3,1,2,1,1,0,0,0
2025-10-05,90,7,5,5,6,6,5,5,3,3,5,2,6,3,6,0,1,1,7,4,3,5,1,0,0,0,1
2025-10-06,72,5,6,6,14,3,3,0,3,3,7,0,2,1,1,1,1,2,6,1,2,3,1,1,0,0,0
2025-10-07,61,3,7,3,10,1,5,3,3,2,5,1,2,2,2,0,1,1,5,1,2,2,0,0,0,0,0
2025-10-08,55,4,3,1,6,5,4,2,5,4,4,0,2,1,2,0,0,0,10,0,1,1,0,0,0,0,0
2025-10-09,37,2,3,4,4,0,1,4,2,2,3,0,2,2,2,0,0,0,4,0,0,2,0,0,0,0,0
2025-10-12,125,6,17,5,8,4,3,5,7,11,11,1,15,2,4,3,2,1,12,2,2,1,2,0,1,0,0
2025-10-13,62,3,3,3,8,5,3,2,5,6,4,0,4,1,2,1,0,0,3,2,2,4,0,0,0,1,0
2025-10-14,44,2,3,2,8,4,2,4,2,6,1,0,3,1,2,0,0,0,3,0,0,1,0,0,0,0,0
2025-10-15,50,1,2,2,2,2,4,3,2,5,3,0,3,1,0,1,1,1,7,2,3,3,1,1,0,0,0
2025-10-16,105,9,10,5,5,5,4,2,10,9,6,1,4,3,5,2,1,1,12,4,3,2,0,2,0,0,0
2025-10-19,64,2,3,3,15,8,3,2,1,7,3,2,2,1,2,0,1,0,5,0,0,1,3,0,0,0,0
2025-10-20,44,1,4,3,3,1,1,2,4,8,2,0,7,1,1,0,0,0,3,2,0,1,0,0,0,0,0
2025-10-22,25,0,4,1,3,0,3,0,2,2,3,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0
2025-10-23,227,14,16,17,39,20,8,4,17,12,16,3,9,9,4,3,2,2,13,5,3,8,0,1,0,1,1
2025-10-26,41,2,6,1,3,1,4,2,2,2,2,0,1,1,1,2,0,0,6,4,1,0,0,0,0,0,0
2025-10-27,68,4,7,4,8,3,1,2,4,5,10,3,4,2,2,0,1,1,3,1,0,2,1,0,0,0,0
2025-10-28,57,1,5,2,5,0,1,3,3,7,4,0,4,4,3,1,1,0,3,3,0,5,1,1,0,0,0
2025-10-29,92,7,3,3,12,10,7,4,4,4,3,1,2,2,3,0,2,4,9,2,2,4,2,2,0,0,0
2025-10-30,67,3,2,4,12,0,3,4,4,4,4,0,3,2,6,0,0,2,5,1,2,3,0,1,0,2,0
2025-11-02,52,1,1,2,12,1,0,2,3,2,4,0,1,5,4,0,1,1,8,0,1,2,0,1,0,0,0
2025-11-03,86,5,2,5,15,5,5,7,2,4,2,0,6,3,2,1,2,2,7,1,3,6,1,0,0,0,0
2025-11-05,101,4,5,9,12,5,4,4,8,6,13,0,5,2,2,0,1,1,6,2,2,3,1,4,1,1,0
2025-11-06,62,3,2,4,11,4,3,0,3,6,5,0,3,2,4,0,3,0,3,2,1,3,0,0,0,0,0
2025-11-09,42,3,0,0,4,4,4,2,3,5,1,0,2,3,2,0,1,1,2,1,2,0,0,2,0,0,0
2025-11-10,117,2,13,9,18,12,7,5,6,6,6,0,8,3,6,1,0,1,6,3,1,1,1,1,1,0,0
2025-11-11,47,2,1,3,13,1,3,2,8,1,3,1,1,0,1,0,1,0,2,1,0,1,0,1,0,0,1
2025-11-12,82,3,3,3,13,7,5,2,5,4,7,1,5,3,4,1,1,0,4,1,1,3,0,3,1,1,1
2025-11-13,97,4,7,3,23,2,3,3,6,11,8,0,5,2,1,1,1,0,5,4,2,5,0,1,0,0,0
2025-11-16,49,1,1,3,6,2,3,0,4,3,4,1,1,4,5,0,1,0,5,0,1,2,0,2,0,0,0
2025-11-17,156,11,12,7,26,5,7,8,9,9,9,0,5,3,6,4,1,4,17,2,1,3,3,3,0,1,0
2025-11-18,67,3,3,5,11,2,4,2,5,7,4,0,4,2,3,0,2,0,5,2,1,1,0,0,0,0,1
2025-11-19,46,1,3,2,7,4,0,0,2,1,5,2,3,3,3,0,1,0,5,2,0,1,0,0,1,0,0
2025-11-20,127,6,7,2,29,5,5,4,8,9,9,2,5,3,4,0,2,7,7,1,2,3,5,1,0,1,0
2025-11-23,68,4,3,5,19,0,3,2,3,3,4,0,6,1,4,1,1,1,3,1,2,2,0,0,0,0,0
2025-11-24,77,0,4,5,13,4,3,1,7,8,12,0,7,2,2,1,0,1,4,1,1,1,0,0,0,0,0
2025-11-25,26,1,3,2,0,2,2,0,2,0,1,1,0,2,1,0,3,0,2,1,2,1,0,0,0,0,0
2025-11-26,60,2,2,4,5,2,5,4,4,7,0,0,2,3,1,5,2,1,5,1,1,1,1,1,0,0,1
2025-11-27,96,3,9,1,16,7,3,6,4,4,3,3,4,3,5,0,1,5,3,4,2,3,3,1,2,1,0
2025-11-30,41,3,1,2,8,1,0,1,3,4,4,0,4,0,0,0,2,0,7,1,0,0,0,0,0,0,0
2025-12-01,156,7,9,6,54,8,6,4,4,5,8,0,8,4,3,2,3,5,12,2,1,4,0,1,0,0,0
2025-12-02,58,0,4,4,9,2,1,1,3,5,1,1,2,2,3,2,1,2,4,2,1,6,2,0,0,0,0
2025-12-03,36,4,3,1,5,1,1,0,0,1,4,0,4,5,1,0,0,1,3,0,0,0,0,1,0,1,0
2025-12-04,62,2,6,6,0,8,2,3,6,2,2,1,6,3,2,1,0,1,4,2,2,2,0,0,1,0,0
2025-12-07,100,10,6,2,24,4,6,0,3,7,7,1,1,1,6,1,1,2,9,3,1,4,1,0,0,0,0
2025-12-08,78,2,5,2,32,4,3,1,5,11,1,0,3,2,0,0,1,1,2,2,0,1,0,0,0,0,0
2025-12-09,30,2,3,1,4,1,1,0,1,3,3,0,3,1,1,0,0,0,4,0,2,0,0,0,0,0,0
2025-12-10,55,3,1,2,3,5,5,2,7,4,3,0,3,1,2,1,1,0,3,4,2,2,0,1,0,0,0
2025-12-11,27,3,3,2,0,2,1,1,3,4,2,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0
2025-12-14,92,7,8,6,7,8,4,2,4,11,4,2,7,2,3,0,1,1,5,1,1,6,1,1,0,0,0
2025-12-15,137,4,9,5,42,3,2,6,6,6,8,0,5,5,6,0,3,1,10,4,3,3,3,2,0,1,0
2025-12-16,73,5,5,5,8,6,9,1,5,4,6,0,0,2,3,0,4,1,5,1,0,2,0,1,0,0,0
2025-12-17,72,5,4,6,14,2,2,3,7,5,8,1,3,2,1,0,0,0,5,0,3,0,0,0,0,0,1
2025-12-18,44,2,3,3,8,2,1,2,2,3,5,1,1,2,2,0,0,0,3,2,1,1,0,0,0,0,0
2025-12-21,55,3,4,4,6,4,7,0,3,8,3,0,3,2,1,0,1,0,1,2,1,1,0,0,1,0,0
2025-12-22,108,2,9,4,12,3,5,4,4,4,12,0,10,7,2,2,4,1,15,3,2,3,0,0,0,0,0
2025-12-23,69,4,5,6,9,2,5,3,4,4,2,0,4,1,4,1,0,0,7,2,2,1,0,2,0,0,1
2025-12-25,93,8,4,3,22,4,6,0,2,10,5,2,5,0,2,0,2,3,3,2,0,5,2,3,0,0,0
2025-12-28,65,4,2,1,17,2,3,1,5,4,4,2,1,2,5,0,2,1,3,2,1,2,1,0,0,0,0
2025-12-29,107,7,5,5,25,9,5,4,4,5,6,1,5,3,2,3,1,2,10,0,1,1,1,2,0,0,0
2025-12-30,22,1,2,2,3,2,1,1,1,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2025-12-31,85,7,6,6,14,5,3,3,9,5,4,0,5,4,2,0,1,2,6,1,0,2,0,0,0,0,0
2026-01-01,40,1,1,4,4,3,2,0,3,5,3,0,3,2,3,0,2,0,1,0,2,1,0,0,0,0,0
2026-01-04,89,5,8,2,16,2,7,1,5,5,10,2,3,1,5,2,0,2,8,1,1,3,0,0,0,0,0
2026-01-05,114,8,4,3,22,3,5,2,3,3,8,1,9,7,4,2,3,1,11,2,0,4,5,1,2,1,0
2026-01-06,41,1,5,2,11,1,1,1,2,5,2,0,0,2,0,1,0,2,2,0,1,2,0,0,0,0,0
2026-01-07,90,5,8,13,26,3,2,6,2,4,8,0,1,2,2,0,1,0,4,0,0,3,0,0,0,0,0
2026-01-08,87,7,6,6,13,5,4,1,6,5,5,1,1,6,3,0,1,1,10,2,2,2,0,0,0,0,0
2026-01-11,52,3,1,3,7,4,2,2,3,5,3,0,1,5,1,0,3,1,2,1,0,1,1,0,2,1,0
2026-01-12,31,2,2,0,9,0,2,2,3,2,1,0,2,2,0,0,0,0,2,0,1,1,0,0,0,0,0
2026-01-13,35,1,4,1,5,3,2,0,1,1,4,1,8,0,2,0,0,0,0,0,0,1,1,0,0,0,0
2026-01-15,44,2,4,1,4,1,6,2,2,2,4,2,3,2,3,0,0,0,4,0,1,0,0,1,0,0,0
2026-01-18,152,5,16,9,25,4,7,4,7,14,15,0,7,1,8,1,2,1,12,1,4,5,0,2,0,1,1
2026-01-19,50,2,1,3,10,2,3,2,4,4,1,1,1,1,0,1,1,2,3,0,4,2,0,1,0,0,1
2026-01-20,39,2,4,3,10,3,2,1,3,2,0,0,3,0,0,0,2,1,2,1,0,0,0,0,0,0,0
2026-01-21,28,1,1,1,14,0,2,1,1,1,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0
2026-01-22,67,4,2,4,6,4,1,2,9,5,5,1,2,3,2,1,0,0,6,1,0,7,0,0,1,0,1
2026-01-26,70,3,7,6,9,1,2,1,3,3,3,0,5,2,0,1,3,4,7,2,2,3,0,1,0,2,0
2026-01-27,33,2,0,1,7,4,2,0,1,2,3,0,1,2,2,0,0,1,1,1,1,2,0,0,0,0,0
2026-01-28,67,8,7,4,8,3,4,3,2,7,3,0,4,3,1,1,0,1,2,1,0,3,0,2,0,0,0
2026-01-29,99,3,2,4,30,2,1,16,4,10,7,1,2,1,1,1,0,3,4,2,1,2,0,2,0,0,0
2026-01-31,72,2,4,7,9,4,4,2,3,7,2,1,5,0,3,2,0,1,5,2,2,4,0,0,1,1,1
