Date,Symbol,Cap Type,Sector
2025-09-18,BANKBARODA,Largecap,Bank
2025-09-18,BANKINDIA,Largecap,Bank
2025-09-18,BDL,Largecap,Aerospace & Defence
2025-09-18,POLICYBZR,Largecap,I.T
2025-09-18,IREDA,Largecap,Financials
2025-09-21,MANAPPURAM,Largecap,Financials
2025-09-22,KOTAKBANK,Largecap,Bank
2025-09-23,TATACONSUM,Largecap,FMCG
2025-09-23,CANBK,Largecap,Bank
2025-09-24,KEI,Largecap,Industrials
2025-09-24,PNBHOUSING,Largecap,Financials
2025-09-25,ASHOKLEY,Largecap,Auto
2025-09-28,TITAN,Largecap,Consumer Discretionary
2025-09-28,LUPIN,Largecap,Healthcare
2025-09-28,VOLTAS,Largecap,Consumer Discretionary
2025-09-28,MOTHERSON,Largecap,Auto
2025-09-28,PFC,Largecap,Financials
2025-09-28,ICICIPRULI,Largecap,Financials
2025-09-28,IEX,Midcap,Financials
2025-09-28,RVNL,Largecap,Realty
2025-09-28,IREDA,Largecap,Financials
2025-09-29,AMBUJACEM,Largecap,Building Materials
2025-09-29,CHOLAFIN,Largecap,Financials
2025-09-29,JUBLFOOD,Largecap,Consumer Discretionary
2025-09-29,MUTHOOTFIN,Largecap,Financials
2025-09-29,ICICIPRULI,Largecap,Financials
2025-09-29,SWIGGY,Largecap,I.T
2025-09-30,BHEL,Largecap,Industrials
2025-09-30,AUROPHARMA,Largecap,Healthcare
2025-09-30,UNOMINDA,Largecap,Auto
2025-09-30,DLF,Largecap,Realty
2025-10-02,BEL,Largecap,Aerospace & Defence
2025-10-02,DRREDDY,Largecap,Healthcare
2025-10-02,CUMMINSIND,Largecap,Industrials
2025-10-02,MPHASIS,Largecap,I.T
2025-10-02,MARICO,Largecap,FMCG
2025-10-02,JINDALSTEL,Largecap,Metals & Mining
2025-10-02,GLENMARK,Largecap,Healthcare
2025-10-02,UNITDSPR,Largecap,FMCG
2025-10-02,CANBK,Largecap,Bank
2025-10-02,HAL,Largecap,Aerospace & Defence
2025-10-05,HINDPETRO,Largecap,Energy
2025-10-05,PATANJALI,Largecap,FMCG
2025-10-05,PHOENIXLTD,Largecap,Realty
2025-10-05,CANBK,Largecap,Bank
2025-10-05,BAJAJFINSV,Largecap,Financials
2025-10-06,ASHOKLEY,Largecap,Auto
2025-10-06,UNIONBANK,Largecap,Bank
2025-10-07,PIDILITIND,Largecap,Chemicals
2025-10-07,BHARTIARTL,Largecap,Telecom-Service
2025-10-07,FORTIS,Largecap,Healthcare
2025-10-08,VEDL,Largecap,Metals & Mining
2025-10-08,FORTIS,Largecap,Healthcare
2025-10-08,MAZDOCK,Largecap,Aerospace & Defence
2025-10-08,DELHIVERY,Largecap,Transportation
2025-10-08,NUVAMA,Largecap,Financials
2025-10-09,AUROPHARMA,Largecap,Healthcare
2025-10-09,AXISBANK,Largecap,Bank
2025-10-09,OBEROIRLTY,Largecap,Realty
2025-10-12,ADANIENSOL,Largecap,Power & Utilities
2025-10-12,PREMIERENE,Largecap,Services
2025-10-13,ICICIGI,Largecap,Financials
2025-10-14,BHEL,Largecap,Industrials
2025-10-14,GRASIM,Largecap,Textiles
2025-10-14,VOLTAS,Largecap,Consumer Discretionary
2025-10-14,PHOENIXLTD,Largecap,Realty
2025-10-14,KEI,Largecap,Industrials
2025-10-14,MPHASIS,Largecap,I.T
2025-10-14,OBEROIRLTY,Largecap,Realty
2025-10-14,SBICARD,Largecap,Financials
2025-10-14,MAZDOCK,Largecap,Aerospace & Defence
2025-10-14,WAAREEENER,Largecap,Industrials
2025-10-15,TRENT,Largecap,Consumer Discretionary
2025-10-15,PATANJALI,Largecap,FMCG
2025-10-15,WIPRO,Largecap,I.T
2025-10-15,TVSMOTOR,Largecap,Auto
2025-10-15,DLF,Largecap,Realty
2025-10-15,PAYTM,Largecap,I.T
2025-10-16,TITAN,Largecap,Consumer Discretionary
2025-10-16,CUMMINSIND,Largecap,Industrials
2025-10-16,COLPAL,Largecap,FMCG
2025-10-16,GODREJPROP,Largecap,Realty
2025-10-16,APLAPOLLO,Largecap,Industrials
2025-10-19,TATACONSUM,Largecap,FMCG
2025-10-19,UPL,Largecap,Chemicals
2025-10-19,BHARTIARTL,Largecap,Telecom-Service
2025-10-19,GODREJPROP,Largecap,Realty
2025-10-19,NBCC,Largecap,Miscellaneous
2025-10-19,SBICARD,Largecap,Financials
2025-10-19,IRFC,Largecap,Financials
2025-10-19,PAYTM,Largecap,I.T
2025-10-19,DELHIVERY,Largecap,Transportation
2025-10-20,BAJAJFINSV,Largecap,Financials
2025-10-22,MANKIND,Largecap,Healthcare
2025-10-23,OBEROIRLTY,Largecap,Realty
2025-10-23,PRESTIGE,Largecap,Realty
2025-10-26,PHOENIXLTD,Largecap,Realty
2025-10-26,LAURUSLABS,Largecap,Healthcare
2025-10-26,ABCAPITAL,Largecap,Financials
2025-10-26,SONACOMS,Largecap,Auto
2025-10-26,NYKAA,Largecap,I.T
2025-10-27,NAUKRI,Largecap,I.T
2025-10-27,JSWENERGY,Largecap,Power & Utilities
2025-10-27,MUTHOOTFIN,Largecap,Financials
2025-10-27,INDUSTOWER,Largecap,Telecom
2025-10-27,SBILIFE,Largecap,Financials
2025-10-27,HDFCLIFE,Largecap,Financials
2025-10-27,KALYANKJIL,Largecap,Consumer Discretionary
2025-10-28,SRF,Largecap,Chemicals
2025-10-28,UPL,Largecap,Chemicals
2025-10-28,DLF,Largecap,Realty
2025-10-29,TMPV,Largecap,Auto
2025-10-29,GLENMARK,Largecap,Healthcare
2025-10-29,NBCC,Largecap,Miscellaneous
2025-10-29,HYUNDAI,Largecap,Auto
2025-10-30,LUPIN,Largecap,Healthcare
2025-10-30,BANKINDIA,Largecap,Bank
2025-10-30,TVSMOTOR,Largecap,Auto
2025-10-30,UNIONBANK,Largecap,Bank
2025-10-30,INOXWIND,Midcap,Industrials
2025-11-02,TORNTPHARM,Largecap,Healthcare
2025-11-02,UPL,Largecap,Chemicals
2025-11-02,IOC,Largecap,Energy
2025-11-02,CANBK,Largecap,Bank
2025-11-02,BSE,Largecap,Financials
2025-11-02,KALYANKJIL,Largecap,Consumer Discretionary
2025-11-03,BAJFINANCE,Largecap,Financials
2025-11-03,HINDPETRO,Largecap,Energy
2025-11-06,SBILIFE,Largecap,Financials
2025-11-06,HDFCLIFE,Largecap,Financials
2025-11-06,VMM,Largecap,Consumer Discretionary
2025-11-09,RELIANCE,Largecap,Energy
2025-11-09,JUBLFOOD,Largecap,Consumer Discretionary
2025-11-10,IOC,Largecap,Energy
2025-11-10,BIOCON,Largecap,Healthcare
2025-11-10,MUTHOOTFIN,Largecap,Financials
2025-11-10,MCX,Largecap,Financials
2025-11-10,ICICIPRULI,Largecap,Financials
2025-11-10,HAL,Largecap,Aerospace & Defence
2025-11-11,VOLTAS,Largecap,Consumer Discretionary
2025-11-11,SUPREMEIND,Largecap,Plastic products
2025-11-11,MARICO,Largecap,FMCG
2025-11-11,ICICIPRULI,Largecap,Financials
2025-11-11,MAZDOCK,Largecap,Aerospace & Defence
2025-11-12,SAIL,Largecap,Metals & Mining
2025-11-12,BIOCON,Largecap,Healthcare
2025-11-12,ABCAPITAL,Largecap,Financials
2025-11-12,DELHIVERY,Largecap,Transportation
2025-11-13,AXISBANK,Largecap,Bank
2025-11-13,ADANIPORTS,Largecap,Transportation
2025-11-13,LAURUSLABS,Largecap,Healthcare
2025-11-16,EXIDEIND,Largecap,Auto
2025-11-16,M&M,Largecap,Auto
2025-11-16,BIOCON,Largecap,Healthcare
2025-11-16,RECLTD,Largecap,Financials
2025-11-16,MAXHEALTH,Largecap,Healthcare
2025-11-16,MAZDOCK,Largecap,Aerospace & Defence
2025-11-17,CONCOR,Largecap,Transportation
2025-11-17,HYUNDAI,Largecap,Auto
2025-11-18,MPHASIS,Largecap,I.T
2025-11-18,LTF,Largecap,Financials
2025-11-19,MFSL,Largecap,Miscellaneous
2025-11-19,CHOLAFIN,Largecap,Financials
2025-11-20,GMRAIRPORT,Largecap,Miscellaneous
2025-11-20,PGEL,Midcap,Consumer Discretionary
2025-11-23,CANBK,Largecap,Bank
2025-11-23,LTF,Largecap,Financials
2025-11-23,MCX,Largecap,Financials
2025-11-24,RELIANCE,Largecap,Energy
2025-11-24,HINDALCO,Largecap,Metals & Mining
2025-11-24,MOTHERSON,Largecap,Auto
2025-11-24,PIIND,Largecap,Chemicals
2025-11-24,AUROPHARMA,Largecap,Healthcare
2025-11-24,LTF,Largecap,Financials
2025-11-25,BEL,Largecap,Aerospace & Defence
2025-11-25,HINDALCO,Largecap,Metals & Mining
2025-11-25,NESTLEIND,Largecap,FMCG
2025-11-25,UPL,Largecap,Chemicals
2025-11-25,MOTHERSON,Largecap,Auto
2025-11-25,HCLTECH,Largecap,I.T
2025-11-25,DALBHARAT,Largecap,Building Materials
2025-11-25,APLAPOLLO,Largecap,Industrials
2025-11-25,IEX,Midcap,Financials
2025-11-25,BDL,Largecap,Aerospace & Defence
2025-11-25,CAMS,Midcap,Financials
2025-11-25,SONACOMS,Largecap,Auto
2025-11-25,POLICYBZR,Largecap,I.T
2025-11-26,BHEL,Largecap,Industrials
2025-11-26,SHRIRAMFIN,Largecap,Financials
