Sr,NSE Code,BSE Code,Company Name,Close (₹),% Change,Volume
1,SOLARINDS,532725,Solar Industries India Limited,17314,3.89,562697
2,MCX,534091,Multi Commodity Exchange Of India Limited,3391,1.55,3403551
3,ADANIENT,512599,Adani Enterprises Limited,2716,0.11,6742083
4,MANKIND,543904,Mankind Pharma Ltd,2503,1.66,1120942
5,SUNPHARMA,524715,Sun Pharmaceuticals Industries Limited,1878.2,0.81,2756465
6,ADANIPORTS,532921,Adani Ports And Special Economic Zone Limited,1795.1,1.22,5622212
7,POLICYBZR,543390,PB Fintech Ltd,1688.3,0.41,1854796
8,CIPLA,500087,Cipla Limited,1432.1,-0.32,1138894
9,LAURUSLABS,540222,Laurus Labs Limited,1323.6,0.62,2223101
10,NAM-INDIA,540767,Nippon Life India Asset Management Ltd,1100.6,0.76,843168
11,PNBHOUSING,540173,Pnb Housing Finance Limited,1069.4,-0.03,523695
12,MAXHEALTH,543220,Max Healthcare Institute Ltd,1050.1,0.05,1471140
13,ZYDUSLIFE,532321,Zydus Lifesciences Ltd,1011.7,2.02,1996110
14,MARICO,531642,Marico Limited,841.15,0.74,1462080
15,BIOCON,532523,Biocon Limited,430.1,2.65,8177038
16,CROMPTON,539876,Crompton Greaves Consumer Electricals Limited,301.95,4.5,18051421
