Sr,NSE Code,BSE Code,Company Name,Close (₹),% Change,Volume
1,TVSHLTD,520056,TVS Holdings Ltd,13844,-0.8,2057
2,APOLLOHOSP,508869,Apollo Hospitals Enterprise Limited,8082.5,-0.45,300134
3,SANOFICONR,544250,Sanofi Consumer Healthcare India Ltd,4868.4,-3.15,4115
4,LT,500510,Larsen & Toubro Limited,3909,-0.8,1339185
5,INDOTECH,532717,Indo Tech Transformers Limited,2599.8,-3.7,29834
6,DEEPAKNTR,506401,Deepak Nitrite Limited,1826.4,-0.75,119062
7,EBBETF0431,543216,Bharat Bond ETF - April 2031,1399.73,0.16,4688
8,NILKAMAL,523385,Nilkamal Limited,1288.4,-3.89,9948
9,IFBAGRO,507438,Ifb Agro Industries Limited,967.7,-9.2,49095
10,INDUSINDBK,532187,Indusind Bank Limited,886.4,-2.37,1437283
11,SIGNATURE,543990,SignatureGlobal India Ltd,851.3,-1.72,196063
12,CLEAN,543318,Clean Science & Technology Ltd,766.65,-6.28,443780
13,BIL,526666,Bhartiya International Limited,734.85,-0.04,1323
14,VENTIVE,544321,Ventive Hospitality Ltd,653.2,-2.16,31799
15,SUNDRMBRAK,590072,Sundaram Brake Linings Limited,620.5,0.67,1223
16,BIMETAL,505681,Bimetal Bearings Ltd,563.25,-1.21,10
17,UNITEDTEA,,The United Nilgiri Tea Estates Company Limited,536.15,0.12,380
18,DICIND,500089,Dic India Limited,517.05,1.11,2588
19,JSFB,,Jana Small Finance Bank Ltd,490.85,-1.57,543022
20,SYNGENE,539268,Syngene International Limited,454.05,-2.97,1005028
21,IGPL,500199,Ig Petrochemicals Limited,444.25,-2.28,13488
22,AARTISURF,543210,Aarti Surfactants Ltd,394.35,-2.91,6383
23,NLCINDIA,513683,Nlc India Limited,352.8,-4.88,11521132
24,SUDARCOLOR,506390,Sudarshan Colorants India Ltd,345.95,-0.19,1267
25,VEDL,500295,Vedanta Limited,331.05,-2.32,56392805
26,BHAGYANGR,512296,Bhagyanagar India,317.25,-3.37,137409
27,PONNIERODE,532460,Ponni Sugars (erode) Limited,306.4,0.38,16962
28,DHARMAJ,543687,Dharmaj Crop Guard Ltd,265.2,-1.6,24472
29,PANSARI,538381,Pansari Developers Ltd,264.8,1.63,368
30,SILVERBND,544639,Bandhan Silver ETF,261.18,-7.53,38788
31,AXISILVER,535479,Axis Silver ETF,259.57,-7.59,2635776
32,FIRSTCRY,544226,Brainbees Solutions Ltd,224.22,-2.51,449546
33,HUBTOWN,532799,Hubtown Limited,212.3,-6.31,1382240
34,SOLARWORLD,544532,Solarworld Energy Solutions Ltd,205.26,-4.68,148294
35,AEQUS,544634,Aequs Ltd,202.52,-1.22,1297694
36,SAGCEM,502090,Sagar Cements Limited,180.87,-2.23,52452
37,DPWIRES,535012,D P Wires Ltd,177.46,-2.59,5811
38,SMARTLINK,532419,Smartlink Network Systems Limited,169.35,-8.25,74859
39,HDFCSML250,543775,HDFC Nifty Small Cap 250 ETF,168.12,-0.41,1042463
40,IPL,543311,India Pesticides Ltd,165.21,-2.27,221876
41,AHLEAST,533227,Asian Hotels (east) Limited,161.3,0.59,225
42,DCMNVL,542729,DCM Nouvelle Ltd,154.04,-2.98,8141
43,HISARMETAL,590018,Hisar Metal Industries Ltd,153.89,0.91,247
44,GIPCL,517300,Gujarat Industries Power Company Limited,146.55,-1.7,171882
45,AMIRCHAND,544743,Amir Chand Jagdish Kumar (Exports) Ltd,130.18,-1.79,310567
46,CANBK,532483,Canara Bank Ltd,128.07,-2.12,38366481
47,MOLDTECH,526263,Mold-tek Technologies Limited,124.64,-10.9,269690
48,MUFIN,542774,Mufin Green Finance Ltd,112.71,-0.88,894315
49,DBOL,543593,Dhampur Bio Organics Ltd,110.62,-2.34,28162
50,IOLCP,524164,Iol Chemicals And Pharmaceuticals Limited,105.94,-3.12,1619391
51,CPSEETF,538057,CPSE ETF*,105.89,-0.2,935906
52,GANESHBE,500153,Ganesh Benzoplast Ltd,93.83,-4.92,81490
53,OCCLLTD,544278,OCCL Ltd,92.51,-4,80610
54,TNPETRO,500777,Tamilnadu Petroproducts Limited,89.59,-1.02,90163
55,AAREYDRUGS,524412,Aarey Drugs & Pharmaceuticals Ltd,88.7,-2.85,29831
56,ARCHIDPLY,532994,Archidply Industries Limited,82.5,-1.66,7211
57,KUANTUM,532937,Kuantum Papers Ltd,78.26,-2.76,42585
